"Location,""Name"",""Type"",""Info"",""Category"",""Rating"",""Tags"",""Number of places"",""Price"""																																						
"37.2374 115.8034,""Car&Go"",""Мотель"",""2, ул. Роторная, телефон +79128394822"",2,4.2,""#cashless"",30,""1000 одноместный, 1300 двухместный"""																																						
"37.2334 115.8090,""Лилия"",""Хостел"",""14, ул. Баумана, телефон 2882838"",2,4.5,""#cashless"",12,""500 ночь"""																																						
"37.2374 115.8090,""Татарстан"",""Гостиница"",""12, ул. Петербургская, телефон 2302299"",4,4.7,""#forkids #cashless "",50,""1500 одноместный, 2300 двухместный """																			37.2374 115.8010	Зилант	гостиница	420141, Казань, Юлиуса Фучика, 82	" +7 (843) 275-02-44;+7 (843) 275-02-53; "	"420141, Казань, Юлиуса Фучика, 82,  +7 (843) 275-02-44;+7 (843) 275-02-53; "	3	2,148245024	#forkids #cashless	109	665	одноместный	1165	двухместный	665 одноместный, 1165 двухместный					"37.2374 115.8010,@Зилант,@гостиница,@420141, Казань, Юлиуса Фучика, 82,  +7 (843) 275-02-44;+7 (843) 275-02-53; ,@3,@2,14824502371089,@#forkids #cashless,@109,@665 одноместный, 1165 двухместный"
																			37.2374 115.8111	Маяк	гостиница	422544, Зеленодольск, Рогачёва, 34Б к1	" +7 (84371) 5-07-45;+7 (84371) 5-14-06;+7 (84371) 5-14-39; "	"422544, Зеленодольск, Рогачёва, 34Б к1,  +7 (84371) 5-07-45;+7 (84371) 5-14-06;+7 (84371) 5-14-39; "	2	3,535168863	#cashless	96	916	одноместный	1416	двухместный	916 одноместный, 1416 двухместный					"37.2374 115.8111,@Маяк,@гостиница,@422544, Зеленодольск, Рогачёва, 34Б к1,  +7 (84371) 5-07-45;+7 (84371) 5-14-06;+7 (84371) 5-14-39; ,@2,@3,53516886348543,@#cashless,@96,@916 одноместный, 1416 двухместный"
																			37.2374 115.8212	Залесный	гостиничный комплекс	420076, Казань, Залесная, 5	" +7 (843) 555-95-35; "	"420076, Казань, Залесная, 5,  +7 (843) 555-95-35; "	1	1,986969719	#cashless	72	1311	одноместный	1811	двухместный	1311 одноместный, 1811 двухместный					"37.2374 115.8212,@Залесный,@гостиничный комплекс,@420076, Казань, Залесная, 5,  +7 (843) 555-95-35; ,@1,@1,98696971904487,@#cashless,@72,@1311 одноместный, 1811 двухместный"
																			37.2374 115.8313	Сити Хостел Казань	хостел	420107, Казань, Островского, 67	" +7 (843) 514-88-98; +7-987-225-85-91"	"420107, Казань, Островского, 67,  +7 (843) 514-88-98; +7-987-225-85-91"	2	1,477917758	#cashless	121	776	одноместный	1276	двухместный	776 одноместный, 1276 двухместный					"37.2374 115.8313,@Сити Хостел Казань,@хостел,@420107, Казань, Островского, 67,  +7 (843) 514-88-98; +7-987-225-85-91,@2,@1,47791775768429,@#cashless,@121,@776 одноместный, 1276 двухместный"
																			37.2374 115.8414	Ял	гостиница	420059, Казань, Оренбургский тракт, 20	" +7 (843) 277-62-68;8-800-250-62-68; "	"420059, Казань, Оренбургский тракт, 20,  +7 (843) 277-62-68;8-800-250-62-68; "	1	3,109482811	#cashless	20	2105	одноместный	2605	двухместный	2105 одноместный, 2605 двухместный					"37.2374 115.8414,@Ял,@гостиница,@420059, Казань, Оренбургский тракт, 20,  +7 (843) 277-62-68;8-800-250-62-68; ,@1,@3,10948281067429,@#cashless,@20,@2105 одноместный, 2605 двухместный"
																			37.2374 115.8515	Ял на Калинина	мини-отель	420043, Казань, Калинина, 69	" +7 (843) 238-32-32; +7-966-250-23-13"	"420043, Казань, Калинина, 69,  +7 (843) 238-32-32; +7-966-250-23-13"	3	3,91029228	#cashless	96	1166	одноместный	1666	двухместный	1166 одноместный, 1666 двухместный					"37.2374 115.8515,@Ял на Калинина,@мини-отель,@420043, Казань, Калинина, 69,  +7 (843) 238-32-32; +7-966-250-23-13,@3,@3,91029227999867,@#cashless,@96,@1166 одноместный, 1666 двухместный"
																			37.2374 115.8616	Ryan Johnson	отель	420030, Казань, Урицкого, 15	" +7 (843) 210-16-45; "	"420030, Казань, Урицкого, 15,  +7 (843) 210-16-45; "	4	3,799488014	#cashless	80	1115	одноместный	1615	двухместный	1115 одноместный, 1615 двухместный					"37.2374 115.8616,@Ryan Johnson,@отель,@420030, Казань, Урицкого, 15,  +7 (843) 210-16-45; ,@4,@3,79948801437386,@#cashless,@80,@1115 одноместный, 1615 двухместный"
																			37.2374 115.8717	Sibgat Apartments	апарт-отель	421001, Казань, Алексея Козина, 3а	 +7-987-225-07-25	421001, Казань, Алексея Козина, 3а,  +7-987-225-07-25	4	2,773705958	#forkids #cashless	85	1619	одноместный	2119	двухместный	1619 одноместный, 2119 двухместный					37.2374 115.8717,@Sibgat Apartments,@апарт-отель,@421001, Казань, Алексея Козина, 3а,  +7-987-225-07-25,@4,@2,77370595799726,@#forkids #cashless,@85,@1619 одноместный, 2119 двухместный
																			37.2374 115.8818	Ирбис Транзит	гостиничный комплекс	Казань, Федеральная трасса М7 847 км, 1	" +7 (843) 260-39-39; "	"Казань, Федеральная трасса М7 847 км, 1,  +7 (843) 260-39-39; "	4	3,731332263	#cashless	26	1297	одноместный	1797	двухместный	1297 одноместный, 1797 двухместный					"37.2374 115.8818,@Ирбис Транзит,@гостиничный комплекс,@Казань, Федеральная трасса М7 847 км, 1,  +7 (843) 260-39-39; ,@4,@3,73133226317011,@#cashless,@26,@1297 одноместный, 1797 двухместный"
																			37.2374 115.8919	Арго	гостиница	420006, Казань, Рахимова, 59г	" +7 (843) 259-86-84; +7-960-048-21-49"	"420006, Казань, Рахимова, 59г,  +7 (843) 259-86-84; +7-960-048-21-49"	1	3,030776574	#forkids #cashless	113	1547	одноместный	2047	двухместный	1547 одноместный, 2047 двухместный					"37.2374 115.8919,@Арго,@гостиница,@420006, Казань, Рахимова, 59г,  +7 (843) 259-86-84; +7-960-048-21-49,@1,@3,03077657442544,@#forkids #cashless,@113,@1547 одноместный, 2047 двухместный"
